,Time (Seconds),Voltage (V),Current (A),Repeat,Run,Channel,Step,Loop Count,File Name,File Path,Exp Type,OCV,Exp Title,Exp Name,Exp Start Time,Capacity (Ah),Energy (Wh),raw dQ/dV (Ah/V),dQ/dV (Ah/V),Cumulative Capacity (Ah),Current Density (A/m^2),Overpotential (V),SOC (%)
60,320.0,1.182715,-0.009040928,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,,,,,0.0,,,0.0
61,325.0,1.167969,-0.009040833,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-1.25567125e-05,-1.46658509419125e-05,,,1.25567125e-05,-0.009040833,,0.0
62,330.0,1.154895,-0.009041118,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-2.5113820833333336e-05,-4.3669677053225e-05,,,2.5113820833333336e-05,-0.009041118,,0.0
63,335.0,1.142432,-0.009041118,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-3.767092916666667e-05,-8.670615200295834e-05,,,3.767092916666667e-05,-0.009041118,,0.0
64,340.0,1.130518,-0.009040547,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-5.022724444444445e-05,-0.00014348895593780278,,,5.022724444444445e-05,-0.009040547,,0.0
65,345.0,1.119019,-0.009040833,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-6.278395694444445e-05,-0.00021374539665381808,,,6.278395694444445e-05,-0.009040833,,0.0
66,350.0,1.107764,-0.009041023,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-7.534093333333334e-05,-0.00029720537032688476,,,7.534093333333334e-05,-0.009041023,,0.0
67,355.0,1.096716,-0.009041309,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-8.789830694444446e-05,-0.0003936048499257681,,,8.789830694444446e-05,-0.009041309,,0.0
68,360.0,1.085913,-0.009040928,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-0.0001004551513888889,-0.0005026904047359306,,,0.0001004551513888889,-0.009040928,,0.0
69,365.0,1.075342,-0.009040928,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-0.00011301199583333335,-0.000624216950359339,,,0.00011301199583333335,-0.009040928,,0.0
70,370.0,1.064831,-0.009040738,01,01,MGPA-Li,Step04,No loop,MGP-A Half Cell ICI Test 2,C:\Users\solartronmobile.24M\24M Technologies\Lab Equipment Data - Solartron\Mat H\,5,1.2568,"Galvanostatic	[-0.00904 A,10 Min][default]	Step04[auto]",Galvanostatic,11/15/2024 9:25:09 AM,-0.0001255685763888889,-0.000757926263124096,,,0.0001255685763888889,-0.009040738,,0.0
